Disease,Description
Atrial fibrillation,"In a typical heart, a tiny group of cells at the sinus node sends out an electrical signal. The signal travels through the heart's upper chambers to the atrioventricular (AV) node. The signal then passes into the lower heart chambers, causing them to squeeze and pump out blood. In atrial fibrillation, electrical signals fire from many locations in the upper chambers, causing them to beat chaotically. Since the AV node doesn't prevent all of these chaotic signals from entering the lower chambers, the heart beats faster and irregularly."
Abdominal aortic aneurysm,"An abdominal aortic aneurysm occurs when a lower part of the body's main artery, called the aorta, becomes weakened and bulges."
Hyperhidrosis,Hyperhidrosis (hi-pur-hi-DROE-sis) is excessive sweating that's not always related to heat or exercise. You may sweat so much that it soaks through your clothes or drips off your hands. Heavy sweating can disrupt your day and cause social anxiety and embarrassment.
Absence seizure,"Absence seizures involve brief, sudden lapses of consciousness. They're more common in children than in adults."
Achalasia,Achalasia is a rare disorder that makes it difficult for food and liquid to pass from the swallowing tube connecting your mouth and stomach (esophagus) into your stomach.
Achilles tendon rupture,"The Achilles tendon is a strong fibrous cord that connects the muscles in the back of your calf to your heel bone. If you overstretch your Achilles tendon, it can tear (rupture)."
Gastroesophageal reflux disease (GERD),"Acid reflux occurs when the sphincter muscle at the lower end of your esophagus relaxes at the wrong time, allowing stomach acid to back up into your esophagus. This can cause heartburn and other signs and symptoms. Frequent or constant reflux can lead to GERD."
Infant reflux,"If the muscle between the esophagus and the stomach relaxes when the stomach is full, food might flow up the baby's esophagus. This muscle is called the lower esophageal sphincter."
ACL injury,"The anterior cruciate ligament (ACL) is one of the key ligaments that help stabilize the knee joint. The ACL connects the thighbone (femur) to the shinbone (tibia). It's most commonly torn during sports that involve sudden stops and changes in direction — such as basketball, soccer, tennis and volleyball."
Acne,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples. Acne is most common among teenagers, though it affects people of all ages."
Hidradenitis suppurativa,Illustration of hidradenitis suppurativa on different skin colors. This condition usually appears as one or more tender bumps that fill with pus. It often occurs in the armpits.
Acoustic neuroma,"An acoustic neuroma, also known as a vestibular schwannoma, is a noncancerous tumor. It develops on the balance nerve, known as the vestibular nerve, and on the auditory nerve, known as the cochlear nerve. These nerves lead from your inner ear to the brain, as shown in the top image. The pressure on the nerve from the tumor may cause hearing loss and imbalance. In some cases, the tumor may grow and affect the cerebellum or other brain tissues, as shown in the magnetic resonance imaging (MRI) scan and illustrations above."
HIV/AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
Acromegaly,"Symptoms of acromegaly include an enlarged face and hands. Changes to the face may cause the brow bone and lower jawbone to protrude, and the nose and lips to get larger."
Acute coronary syndrome,"Acute coronary syndrome is a term that describes a range of conditions related to sudden, reduced blood flow to the heart. These conditions include a heart attack and unstable angina."
Acute myelogenous leukemia,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.
Guillain-Barre syndrome,"The demyelinating form of Guillain-Barre syndrome destroys the protective covering of the peripheral nerves (myelin sheath), preventing the nerves from transmitting signals to the brain."
Acute kidney failure,"The kidneys remove waste and excess fluid from the blood through structures called nephrons. Each nephron contains a filter called a glomerulus that has a network of tiny blood vessels called capillaries. When blood flows into a glomerulus, tiny molecules — water, essential minerals and nutrients, and wastes — pass through the capillary walls. Large molecules, such as proteins and red blood cells, do not. The filtered solution then passes into another part of the nephron called the tubule. The water, nutrients and minerals that the body needs are transferred back to the bloodstream. The excess water and waste become urine that flows to the bladder."
Acute liver failure,"Acute liver failure is loss of liver function that occurs quickly — in days or weeks — usually in a person who has no preexisting liver disease. It's most commonly caused by a hepatitis virus or drugs, such as acetaminophen. Acute liver failure is less common than chronic liver failure, which develops more slowly."
Acute lymphocytic leukemia,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.
Radiation sickness,Radiation sickness is damage to your body caused by a large dose of radiation often received over a short period of time (acute). The amount of radiation absorbed by the body — the absorbed dose — determines how sick you'll be.
ARDS,"Acute respiratory distress syndrome (ARDS) occurs when fluid builds up in the tiny, elastic air sacs (alveoli) in your lungs. The fluid keeps your lungs from filling with enough air, which means less oxygen reaches your bloodstream. This deprives your organs of the oxygen they need to function."
Acute sinusitis,Acute sinusitis causes the spaces inside your nose (sinuses) to become inflamed and swollen. This interferes with drainage and causes mucus to build up.
Alcohol use disorder,"Alcohol use disorder is a pattern of alcohol use that involves problems controlling your drinking, being preoccupied with alcohol or continuing to use alcohol even when it causes problems. This disorder also involves having to drink more to get the same effect or having withdrawal symptoms when you rapidly decrease or stop drinking. Alcohol use disorder includes a level of drinking that's sometimes called alcoholism."
Nicotine dependence,"Nicotine dependence occurs when you need nicotine and can't stop using it. Nicotine is the chemical in tobacco that makes it hard to quit. Nicotine produces pleasing effects in your brain, but these effects are temporary. So you reach for another cigarette."
Addison's disease,"Addison's disease, also called adrenal insufficiency, is an uncommon illness that occurs when the body doesn't make enough of certain hormones. In Addison's disease, the adrenal glands make too little cortisol and, often, too little of another hormone, aldosterone."
Mesenteric lymphadenitis,The mesentery is a fold of membrane that attaches the intestine to the abdominal wall and holds it in place. Mesenteric lymphadenitis is an inflammation of the lymph nodes in the mesentery.
Attention-deficit/hyperactivity disorder (ADHD) in children,"Attention-deficit/hyperactivity disorder (ADHD) is a chronic condition that affects millions of children and often continues into adulthood. ADHD includes a combination of persistent problems, such as difficulty sustaining attention, hyperactivity and impulsive behavior."
Adult attention-deficit/hyperactivity disorder (ADHD),"Adult attention-deficit/hyperactivity disorder (ADHD) is a mental health disorder that includes a combination of persistent problems, such as difficulty paying attention, hyperactivity and impulsive behavior. Adult ADHD can lead to unstable relationships, poor work or school performance, low self-esteem, and other problems."
Frozen shoulder,Frozen shoulder occurs when the connective tissue enclosing the joint thickens and tightens.
Adjustment disorders,"Adjustment disorders are excessive reactions to stress that involve negative thoughts, strong emotions and changes in behavior. The reaction to a stressful change or event is much more intense than would typically be expected. This can cause a lot of problems in getting along with others, as well as at work or school."
Adnexal tumors,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system."
Childhood schizophrenia,"Childhood schizophrenia is an uncommon but severe mental disorder in which children and teenagers interpret reality abnormally. Schizophrenia involves a range of problems with thinking (cognitive), behavior or emotions. It may result in some combination of hallucinations, delusions, and extremely disordered thinking and behavior that impairs your child's ability to function."
Adrenal cancer,"Located on top of each kidney, the adrenal glands make hormones that help regulate metabolism, the immune system, blood pressure and other important functions. Although small, these glands control much of what happens in the body."
Benign adrenal tumors,"Located on top of each kidney, the adrenal glands make hormones that help regulate metabolism, the immune system, blood pressure and other important functions. Although small, these glands control much of what happens in the body."
Adrenoleukodystrophy,Adrenoleukodystrophy (uh-dree-noh-loo-koh-DIS-truh-fee) is a type of hereditary (genetic) condition that damages the membrane (myelin sheath) that insulates nerve cells in your brain.
Adult Still disease,"Adult Still disease is a rare type of inflammatory arthritis. Common symptoms are fevers, rash and joint pain. The condition can occur in some people as a single episode that goes away. In other people, the condition doesn't go away, or it goes away but comes back."
Dry macular degeneration,"As macular degeneration develops, clear, typical vision (left) becomes impaired by a general haziness. With advanced macular degeneration, a blind spot forms at the center of the visual field (right)."
Wet macular degeneration,"As macular degeneration develops, clear, typical vision (left) becomes impaired by a general haziness. With advanced macular degeneration, a blind spot forms at the center of the visual field (right)."
Myelofibrosis,Myelofibrosis is an uncommon type of bone marrow cancer that disrupts your body's normal production of blood cells.
Agoraphobia,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder. Agoraphobia involves fearing and avoiding places or situations that might cause panic and feelings of being trapped, helpless or embarrassed. You may fear an actual or upcoming situation. For example, you may fear using public transportation, being in open or enclosed spaces, standing in line, or being in a crowd."
Albinism,"The term albinism usually refers to oculocutaneous (ok-u-low-ku-TAY-nee-us) albinism (OCA). OCA is a group of disorders passed down in families where the body makes little or none of a substance called melanin. The type and amount of melanin in your body determines the color of your skin, hair and eyes. Melanin also plays a role in the development and function of the eyes, so people with albinism have vision problems."
Alcohol poisoning,"Alcohol poisoning is a serious — and sometimes deadly — result of drinking large amounts of alcohol in a short period of time. Drinking too much too quickly can affect breathing, heart rate, body temperature and gag reflex. In some cases, this can lead to a coma and death."
Alcoholic hepatitis,"The liver is your largest internal organ. About the size of a football, it's located mainly in the upper right portion of your abdomen, beneath the diaphragm and above your stomach."
Hay fever,"Hay fever, also called allergic rhinitis, causes cold-like symptoms. These may include a runny nose, itchy eyes, congestion, sneezing and sinus pressure. But unlike a cold, hay fever isn't caused by a virus. Hay fever is caused by an allergic response to a harmless outdoor or indoor substance the body identifies as harmful (allergen)."
Allergies,"Allergies occur when your immune system reacts to a foreign substance — such as pollen, bee venom or pet dander — or a food that doesn't cause a reaction in most people."
