,Disease,combined_symptoms
0,(vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
1,ACL injury,loud pop pop sensation the kneesevere pain and inability continue activityrapid swellingloss range motiona feel instability give way with weight bearingsigns symptom acl injury usually include
2,AIDS,muscle waste patch throat high fever extra marital contact
3,ARDS,severe shortness breathlabored and unusually rapid breathinglow blood pressureconfusion extreme tirednessthe sign symptom ards can vary intensity depend it cause severity well the presence underlie heart lung disease they include
4,Abdominal aortic aneurysm,deep constant pain the belly area side belly back pain pulse near bellybutton abdominal aortic aneurysm often grow slowly without noticeable symptom this make them difficult detect some never rupture many start small and stay small others large over time sometimes quickly
5,Absence seizure,sudden stop activity without fall lip smack eyelid flutter chew motion finger rub small movement both hand simple absence seizure cause vacant stare which may mistaken for brief lapse attention the last about second though last long second there confusion headache drowsiness after the seizure
6,Achalasia,inability swallow dysphagia which may feel like food drink stuck your throatregurgitating salivaheartburnbelchingchest pain that come and goescoughing nightpneumonia from aspiration into the lung weight lossvomitingachalasia symptom generally appear gradually worsen over time sign include
7,Achilles tendon rupture,the feel have be kick the calfpain possibly severe and swell near heelan inability bend foot downward push off injured leg when walkingan stand toe lega pop snap sound injury occursalthough possible have sign symptom with achilles tendon rupture most people have
8,Acne,whitehead close plug pore blackhead open pore small red tender bump papule pimple pustule which be papule with pu their tipslarge solid painful lump under the skin nodule painful pu fill cystic lesion cystic acne most severe form occurs when oil and dead cell build deep within hair follicle the result rupture your may boil like inflammation rash fill pimple blackhead scurring
9,Acoustic neuroma,hearing loss usually gradually over month year rare case hearing loss can sudden occurs one side bad side ring the affected ear know tinnitus loss balance not feel steady dizziness facial numbness and very rarely weakness muscle movement symptom acoustic neuroma be often easy miss and may take year develop symptom occur because tumor effect nerve the tumor also put pressure nearby nerve control facial muscle nerve sensation trigeminal nerve blood vessel brain structure neuroma
10,Acromegaly,enlarge hand and feetenlarged facial feature include the bone lip nose tonguecoarse oily thicken skinexcessive sweat body odorsmall outgrowth skin tissue skin tag fatigue joint muscle weaknesspain limited mobilitya deepen husky voice due enlarge vocal cord sinusessevere snore obstruction upper airwayvision problemsheadaches which may persistent severemenstrual cycle irregularity womenerectile dysfunction menloss interest sexa common sign acromegaly foot for example you notice that aren able put ring use fit your shoe size have progressively increase
11,Acute coronary syndrome,chest pain discomfort this often described ache pressure tightness burning also call angina pain that start the chest and spread other part body these area include shoulder arm upper belly area back neck jaw nausea vomit indigestion shortness breath dyspnea sudden heavy sweat race heartbeat feel lightheaded dizzy fainting unusual fatigue the symptom acute coronary syndrome usually begin suddenly they include
12,Acute kidney failure,decrease urine output although occasionally output remains normalfluid retention cause swell your leg ankle feetshortness breathfatigueconfusionnauseaweaknessirregular heartbeatchest pain pressureseizures coma severe casessigns and symptom acute kidney failure may include
13,Acute liver failure,yellow your skin and eyeball jaundice pain upper right abdomena swollen belly ascites nauseavomitinga general sense feel unwell malaise disorientation confusionsleepinessbreath may have musty sweet odortremorssigns symptom acute liver failure include
14,Acute lymphocytic leukemia,bleeding from the gumsbone painfeverfrequent infectionsfrequent severe nosebleedslumps cause swollen lymph node and around neck armpit abdomen groinpale skinshortness breathweakness fatigue general decrease energysigns symptom acute lymphocytic leukemia may include
15,Acute myelogenous leukemia,feverbone painlethargy and fatigueshortness breathpale skinfrequent infectionseasy bruisingunusual bleeding such frequent nosebleed bleeding from the gumsgeneral sign symptom early stage acute myelogenous leukemia may mimic those flu other common disease
16,Acute sinusitis,thick yellow greenish mucus from the nose runny nose down back throat postnasal drainage block stuffy congestion cause difficulty breathing through your nosepain tenderness swell and pressure around eye cheek forehead that worsens when bending overacute sinusitis sign symptom often include
17,Addison's disease,extreme fatigueweight loss and appetiteareas darken skinlow blood pressure even faintingsalt cravinglow sugar also call hypoglycemianausea diarrhea vomitingabdominal painmuscle joint painirritabilitydepressionbody hair sexual issue some peopleaddison disease symptom usually happen slowly often over month the can move slowly that people who have may ignore the first then stress such illness injury make bad
18,Adjustment disorders,feel sad hopeless not enjoy thing you use enjoy cry often worry feel anxious nervous jittery stress out feel irritable like can handle anything and don know where start have trouble sleep not eat enough have difficulty concentrate have with daily activity withdraw from family friend who support socially not do important thing such go work pay bill think about suicide act those thought symptom depend the type adjustment disorder these symptom can vary person person you experience more stress than would generally expect response try event this cause lot problem your life
19,Adrenal cancer,weight gainmuscle weaknesspink purple stretch mark the skinhormone change woman that might cause excess facial hair hair loss head and irregular periodshormone men enlarge breast tissue shrink testiclesnauseavomitingabdominal bloatingback painfeverloss appetiteloss weight without tryingsigns symptom adrenal cancer include
20,Adult Still disease,fever fever may rise least degree fahrenheit celsius the fever spike once twice day for week longer rash rash might come and go with the fever usually appear trunk arm leg sore throat this one first symptom adult still disease lymph node neck swollen tender achy joint joint especially knee wrist stiff painful inflame ankle elbow hand shoulder also ache joint discomfort last two week muscle pain muscular pain come go can severe enough disrupt daily activity most people disease have combination follow symptom
21,Adult attention-deficit/hyperactivity disorder (ADHD),impulsivenessdisorganization and problem prioritizingpoor time management skillsproblems focus tasktrouble multitaskingexcessive activity restlessnesspoor planninglow frustration tolerancefrequent mood swingsproblems follow through complete taskshot tempertrouble cop with stresssome people adhd have few symptom they age but some adult continue major that interfere daily function adult the main feature may include difficulty pay attention impulsiveness restlessness symptom can range from mild severe
22,Agoraphobia,leave home alone crowd wait line enclose space such movie theater elevator small store open parking lot bridge mall use public transportation bus plane train typical agoraphobia symptom include fear
23,Albinism,freckle mole with without color which be sometimes pink large freckle like spot call solar lentigo len tij ih neez sunburn and ability tan symptom albinism involve skin hair eye well vision
24,Alcohol poisoning,confusion vomit seizure slow breathing which few than eight breath minute breathing that not regular this when there gap more second between breath skin that look blue gray pale low body temperature also know hypothermia trouble stay conscious awake alcohol poison symptom include
