,Disease,combined_symptoms
0,Atrial fibrillation,feeling fast flutter pound heartbeat call palpitation chest pain dizziness fatigue lightheadedness reduce ability exercise shortness breath weakness symptom afib may include
1,Abdominal aortic aneurysm,deep constant pain the belly area side the belly back pain pulse near the bellybutton abdominal aortic aneurysm often grow slowly without noticeable symptom this make them difficult detect some aneurysm never rupture many start small and stay small others grow large over time sometimes quickly
2,Hyperhidrosis,sweat disrupts your daily routinesweating cause emotional distress social withdrawalyou suddenly begin sweat more than usualyou experience night sweat for apparent reasonthe main symptom hyperhidrosis heavy sweat this go beyond the sweat from be hot environment exercise feel anxious stress the type hyperhidrosis that usually affect the hand foot underarms face cause least one episode week when you awake and the sweat usually happens both side the body
3,Absence seizure,sudden stop activity without fall lip smack eyelid flutter chew motion finger rub small movement both hand simple absence seizure cause vacant stare which may mistaken for brief lapse attention the seizure last about second though may last long second there confusion headache drowsiness after the seizure
4,Achalasia,inability swallow dysphagia which may feel like food drink stuck your throatregurgitating food salivaheartburnbelchingchest pain that come and goescoughing nightpneumonia from aspiration food into the lung weight lossvomitingachalasia symptom generally appear gradually and worsen over time sign and symptom may include
5,Achilles tendon rupture,the feel have be kick the calfpain possibly severe and swell near the heelan inability bend the foot downward push off the injured leg when walkingan inability stand the toe the injured lega pop snap sound when the injury occursalthough possible have sign symptom with achilles tendon rupture most people have
6,Gastroesophageal reflux disease (GERD),burning sensation your chest heartburn usually after eat which might bad night while lie downbackwash regurgitation food sour liquidupper abdominal chest paintrouble swallow dysphagia sensation lump your throatcommon sign and symptom gerd include
7,Infant reflux,isn gain weight consistently spit forcefully cause stomach content shoot out the mouth this call projectile vomit spit green yellow fluid spit blood stomach content that look like coffee ground refuse feed eat have blood the stool have difficulty breathing cough that won go away begin spit age month old unusually irritable after eat doesn have much energy most case infant reflux isn cause for concern unusual for stomach content have enough acid irritate the throat esophagus and cause symptom
8,ACL injury,loud pop pop sensation the kneesevere pain and inability continue activityrapid swellingloss range motiona feel instability give way with weight bearingsigns and symptom acl injury usually include
9,Acne,whitehead close plug pore blackhead open plug pore small red tender bump papule pimple pustule which be papule with pu their tipslarge solid painful lump under the skin nodule painful pu fill lump under the skin cystic lesion cystic acne the most severe form acne occurs when oil and dead skin cell build deep within hair follicle the result rupture within your skin may form boil like inflammation
10,Hidradenitis suppurativa,blackhead blackhead appear small pit area skin often appear pair painful pea size lump the condition usually start with single painful lump under the skin that persists for week month more bump may form later usually area where you have more sweat and oil gland where the skin rub together such the armpit groin buttock and breast leak bump sore some bump sore get big break open and drain pu with odor tunnel over time tunnel might form under the skin connect the lump these wound heal slowly all and drain blood and pu hidradenitis suppurativa can affect one several area the body sign and symptom the condition include
11,Acoustic neuroma,hearing loss usually gradually over month year rare case hearing loss can sudden hearing loss usually occurs one side bad one side ring the affected ear know tinnitus loss balance not feel steady dizziness facial numbness and very rarely weakness loss muscle movement symptom acoustic neuroma be often easy miss and may take year develop symptom may occur because the tumor effect the hearing and balance nerve the tumor also can put pressure nearby nerve control facial muscle know the facial nerve and sensation know the trigeminal nerve blood vessel brain structure also can affected acoustic neuroma
12,HIV/AIDS,feverheadachemuscle ache and joint painrashsore throat and painful mouth soresswollen lymph gland mainly the neckdiarrheaweight losscoughnight sweatsthe symptom hiv and aid vary depend the phase infection
13,Acromegaly,enlarge hand and feetenlarged facial feature include the facial bone lip nose and tonguecoarse oily thicken skinexcessive sweat and body odorsmall outgrowth skin tissue skin tag fatigue and joint muscle weaknesspain and limited joint mobilitya deepen husky voice due enlarge vocal cord and sinusessevere snore due obstruction the upper airwayvision problemsheadaches which may persistent severemenstrual cycle irregularity womenerectile dysfunction menloss interest sexa common sign acromegaly enlarge hand and foot for example you may notice that you aren able put ring that use fit and that your shoe size have progressively increase
